perl-libs|4:5.32.1-481.1.el9_6.x86_64
perl-mro|0:1.23-481.1.el9_6.x86_64
perl-overloading|0:0.02-481.1.el9_6.noarch
perl-overload|0:1.31-481.1.el9_6.noarch
perl-parent|1:0.238-460.el9.noarch
perl-podlators|1:4.14-460.el9.noarch
perl-subs|0:1.03-481.1.el9_6.noarch
perl-vars|0:1.05-481.1.el9_6.noarch
php-bcmath|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-cli|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-common|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-fpm|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-gd|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-ldap|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-mbstring|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-pdo|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-pgsql|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php-xml|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
php|0:8.3.19-1.module+el9.6.0+23015+da8065b7.x86_64
policycoreutils-python-utils|0:3.6-2.1.el9.noarch
policycoreutils|0:3.6-2.1.el9.x86_64
popt|0:1.18-8.el9.x86_64
postgresql-contrib|0:16.10-1.module+el9.6.0+23420+848a4539.x86_64
postgresql-private-libs|0:16.10-1.module+el9.6.0+23420+848a4539.x86_64
postgresql-server|0:16.10-1.module+el9.6.0+23420+848a4539.x86_64
postgresql|0:16.10-1.module+el9.6.0+23420+848a4539.x86_64
publicsuffix-list-dafsa|0:20210518-3.el9.noarch
python3-audit|0:3.1.5-4.el9.x86_64
python3-cffi|0:1.14.5-5.el9.x86_64
python3-cryptography|0:36.0.1-5.el9_6.x86_64
python3-dbus|0:1.2.18-2.el9.x86_64
python3-distro|0:1.5.0-7.el9.noarch
python3-firewall|0:1.3.4-15.el9_6.noarch
python3-gobject-base-noarch|0:3.40.1-6.el9.noarch
python3-gobject-base|0:3.40.1-6.el9.x86_64
python3-libselinux|0:3.6-3.el9.x86_64
python3-libsemanage|0:3.6-5.el9_6.x86_64
python3-libs|0:3.9.21-2.el9_6.2.x86_64
python3-nftables|1:1.0.9-4.el9_6.x86_64
python3-packaging|0:20.9-5.el9.noarch
python3-pip-wheel|0:21.3.1-1.el9.noarch
python3-ply|0:3.11-14.el9.noarch
python3-policycoreutils|0:3.6-2.1.el9.noarch
python3-pycparser|0:2.20-6.el9.noarch
python3-pyparsing|0:2.4.7-9.el9.noarch
python3-pyyaml|0:5.4.1-6.el9.x86_64
